id,year,pkg_name,rating,runtime,date,director,actor,stars,name,outline,certificate,representation
101,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/.gif?raw=true,net.idt.um.android.bossrevapp,5,50,1974-04-30T10:29:29+05:35, 👉 Communication,Al Pacino,Marlon Brando,BOSS RevolutionÂ®,"["" 👉 Face detection""]","["" 👉 Pop-up messages""]","["" 👉 Text""]"
102,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/camscanner.documentscanner.pdfreader.gif?raw=true,camscanner.documentscanner.pdfreader,5,50,1974-04-30T10:29:29+05:53, 👉 Productivity,Al Pacino,Marlon Brando,Fast Scan,"["" 👉 Image segmentation"","" 👉 Image segmentation""]","["" 👉 Pop-up messages"","" 👉 User personalisation"","" 👉 Instruction"","" 👉 Auto focusing object""]","["" 👉 Text"","" 👉 Visual"","" 👉 Text""]"
103,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/camscanner.documentscanner.pdfreader_import.gif?raw=true,camscanner.documentscanner.pdfreader,5,50,1974-04-30T10:29:29+05:57, 👉 Productivity,Al Pacino,Marlon Brando,Fast Scan,"["" 👉 Image segmentation""]","["" 👉 Importing files""]","["" 👉 Text""]"
104,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.appculus.photo.pdf.pics2pdf.gif?raw=true,com.appculus.photo.pdf.pics2pdf,5,50,1974-04-30T10:29:29+05:82, 👉 Productivity,Al Pacino,Marlon Brando,Photos to PDF,"["" 👉 Image segmentation""]","["" 👉 Pop-up messages""]","["" 👉 Text""]"
105,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.bitcoin.mwallet_no_in.gif?raw=true,com.bitcoin.mwallet,5,50,1974-04-30T10:29:29+05:31, 👉 Finance,Al Pacino,Marlon Brando,Bitcoin.com Wallet,"["" 👉 Barcode scanning""]","["" 👉 Importing files""]","["" 👉 Text""]"
106,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.bitcoin.mwallet_sta.gif?raw=true,com.bitcoin.mwallet,5,50,1974-04-30T10:29:29+05:30, 👉 Finance,Al Pacino,Marlon Brando,Bitcoin.com Wallet,"["" 👉 Barcode scanning"","" 👉 Barcode scanning""]","["" 👉 Camera frame"","" 👉 Instruction"","" 👉 Pop-up messages"","" 👉 Illustration of correct input""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
107,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.charmy.cupist.gif?raw=true,com.charmy.cupist,5,50,1974-04-30T10:29:29+05:62, 👉 Photography,Al Pacino,Marlon Brando,GLAM,"["" 👉 Face detection""]","["" 👉 Pop-up messages""]","["" 👉 Text""]"
108,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.clickworker.clickworkerapp.gif?raw=true,com.clickworker.clickworkerapp,5,50,1974-04-30T10:29:29+05:36, 👉 Communication,Al Pacino,Marlon Brando,Clickworker,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Instruction"","" 👉 Pop-up messages"","" 👉 Auto focusing object"","" 👉 User personalisation""]","["" 👉 Text"","" 👉 Text"","" 👉 Visual""]"
109,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.clickworker.clickworkerapp_import.gif?raw=true,com.clickworker.clickworkerapp,5,50,1974-04-30T10:29:29+05:39, 👉 Productivity,Al Pacino,Marlon Brando,Clickworker,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Auto focusing object"","" 👉 Pop-up messages"","" 👉 User personalisation""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
110,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.cyberlink.youcammakeup_FD.gif?raw=true,com.cyberlink.youcammakeup,5,50,1974-04-30T10:29:29+05:123, 👉 Photography,Al Pacino,Marlon Brando,YouCam Makeup,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Importing files"","" 👉 Pop-up messages"","" 👉 Instruction"","" 👉 Auto focusing object""]","["" 👉 Text"","" 👉 Text"","" 👉 Visual""]"
111,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.cyberlink.youcammakeup_img_seg.gif?raw=true,com.cyberlink.youcammakeup,5,50,1974-04-30T10:29:29+05:119, 👉 Photography,Al Pacino,Marlon Brando,YouCam Makeup,"["" 👉 Image segmentation"","" 👉 Image segmentation""]","["" 👉 Importing files"","" 👉 Pop-up messages"","" 👉 Instruction"","" 👉 Illustration of correct input""]","["" 👉 Text"","" 👉 Text"","" 👉 Visual""]"
112,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.etoolkit.lovecollage.gif?raw=true,com.etoolkit.lovecollage,5,50,1974-04-30T10:29:29+05:69, 👉 Photography,Al Pacino,Marlon Brando,Love Collage,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Auto focusing object"","" 👉 Pop-up messages"","" 👉 User personalisation""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
113,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.everimaging.photoeffectstudio.gif?raw=true,com.everimaging.photoeffectstudio,5,50,1974-04-30T10:29:29+05:58, 👉 Photography,Al Pacino,Marlon Brando,Fotor,"["" 👉 Image segmentation"","" 👉 Image segmentation""]","["" 👉 Importing files"","" 👉 Pop-up messages"","" 👉 Instruction"","" 👉 Illustration of correct input""]","["" 👉 Text"","" 👉 Text"","" 👉 Visual""]"
114,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.face.aging.face.truth.gif?raw=true,com.face.aging.face.truth,5,50,1974-04-30T10:29:29+05:46, 👉 Entertainment,Al Pacino,Marlon Brando,Face Truth,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Camera frame"","" 👉 Instruction"","" 👉 Pop-up messages"","" 👉 Auto focusing object""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
115,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.face.aging.face.truth_import.gif?raw=true,com.face.aging.face.truth,5,50,1974-04-30T10:29:29+05:45, 👉 Entertainment,Al Pacino,Marlon Brando,Face Truth,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Importing files"","" 👉 Instruction"","" 👉 Pop-up messages"","" 👉 Auto focusing object""]","["" 👉 Text"","" 👉 Text"","" 👉 Visual""]"
116,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.krungsri.uchoose.gif?raw=true,com.krungsri.uchoose,5,50,1974-04-30T10:29:29+05:105, 👉 Finance,Al Pacino,Marlon Brando,UChoose,"["" 👉 Entity extraction"","" 👉 Entity extraction""]","["" 👉 Camera frame"","" 👉 Instruction"","" 👉 Pop-up messages"","" 👉 Illustration of correct input"","" 👉 Object marker""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
117,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.mventus.ncell.activity.gif?raw=true,com.mventus.ncell.activity,5,50,1974-04-30T10:29:29+05:80, 👉 Tools,Al Pacino,Marlon Brando,Ncell App,"["" 👉 Entity extraction"","" 👉 Entity extraction""]","["" 👉 Instruction"","" 👉 Camera frame""]","["" 👉 Text"","" 👉 Visual""]"
118,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.myyearbook.m.gif?raw=true,com.myyearbook.m,5,50,1974-04-30T10:29:29+05:72, 👉 Photography,Al Pacino,Marlon Brando,MeetMe,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Instruction"","" 👉 Instruction"","" 👉 Pop-up messages""]","["" 👉 Text"","" 👉 Text""]"
119,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.myyearbook.m_import.gif?raw=true,com.myyearbook.m,5,50,1974-04-30T10:29:29+05:73, 👉 Photography,Al Pacino,Marlon Brando,MeetMe,"["" 👉 Face detection""]","["" 👉 Importing files""]","["" 👉 Text""]"
120,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.superlive.liveapp.gif?raw=true,com.superlive.liveapp,5,50,1974-04-30T10:29:29+05:90, 👉 Social,Al Pacino,Marlon Brando,SuperLive,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Illustration of correct input"","" 👉 Auto focusing object"","" 👉 Instruction"","" 👉 User personalisation""]","["" 👉 Visual"","" 👉 Visual"","" 👉 Text""]"
121,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.ticktalk.imageconverter.gif?raw=true,com.ticktalk.imageconverter,5,50,1974-04-30T10:29:29+05:63, 👉 Productivity,Al Pacino,Marlon Brando,Image Converter,"["" 👉 Image segmentation""]","["" 👉 Pop-up messages""]","["" 👉 Text""]"
122,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.trove.gif?raw=true,com.trove,5,50,1974-04-30T10:29:29+05:95, 👉 Business,Al Pacino,Marlon Brando,TroveSkin,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Camera frame"","" 👉 Pop-up messages"","" 👉 Instruction"","" 👉 Camera adjustment""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
123,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.trove_import.gif?raw=true,com.trove,5,50,1974-04-30T10:29:29+05:94, 👉 Business,Al Pacino,Marlon Brando,TroveSkin,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Importing files"","" 👉 Pop-up messages""]","["" 👉 Text"","" 👉 Text""]"
124,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.trulymadly.android.app.gif?raw=true,com.trulymadly.android.app,5,50,1974-04-30T10:29:29+05:102, 👉 Social,Al Pacino,Marlon Brando,TrulyMadly,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Pop-up messages"","" 👉 User personalisation"","" 👉 Camera frame""]","["" 👉 Text"","" 👉 Visual""]"
125,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.trulymadly.android.app_import.gif?raw=true,com.trulymadly.android.app,5,50,1974-04-30T10:29:29+05:100, 👉 Social,Al Pacino,Marlon Brando,TrulyMadly,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 User personalisation"","" 👉 Importing files""]","["" 👉 Visual"","" 👉 Text""]"
126,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.vnpay.bidv.gif?raw=true,com.vnpay.bidv,5,50,1974-04-30T10:29:29+05:83, 👉 Finance,Al Pacino,Marlon Brando,SmartBanking,"["" 👉 Entity extraction"","" 👉 Entity extraction"","" 👉 Face detection""]","["" 👉 Camera frame"","" 👉 Instruction"","" 👉 Camera frame"","" 👉 Text suggestion"","" 👉 Camera adjustment"","" 👉 Auto focusing object"","" 👉 Illustration of correct input""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
127,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.wemagineai.voila.gif?raw=true,com.wemagineai.voila,5,50,1974-04-30T10:29:29+05:113, 👉 Photography,Al Pacino,Marlon Brando,Voila,"["" 👉 Face detection""]","["" 👉 Importing files""]","["" 👉 Text""]"
128,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.yantech.zoomerang.gif?raw=true,com.yantech.zoomerang,5,50,1974-04-30T10:29:29+05:128, 👉 Shopping,Al Pacino,Marlon Brando,Zoomerang,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Auto focusing object"","" 👉 Pop-up messages"","" 👉 User personalisation""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
129,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.yochat.freechat.gif?raw=true,com.yochat.freechat,5,50,1974-04-30T10:29:29+05:116, 👉 Social,Al Pacino,Marlon Brando,Yochat,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 User personalisation"","" 👉 Pop-up messages"","" 👉 Camera frame""]","["" 👉 Visual"","" 👉 Text"","" 👉 Visual""]"
130,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.yochat.freechat_import.gif?raw=true,com.yochat.freechat,5,50,1974-04-30T10:29:29+05:114, 👉 Social,Al Pacino,Marlon Brando,Yochat,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Importing files"","" 👉 Pop-up messages""]","["" 👉 Text"","" 👉 Text""]"
131,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.zhiyun.zyplay.gif?raw=true,com.zhiyun.zyplay,5,50,1974-04-30T10:29:29+05:131, 👉 Business,Al Pacino,Marlon Brando,ZY Play,"["" 👉 Style transfer""]","["" 👉 Pop-up messages""]","["" 👉 Text""]"
132,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.zoodel.kz.gif?raw=true,com.zoodel.kz,5,50,1974-04-30T10:29:29+05:127, 👉 Shopping,Al Pacino,Marlon Brando,ZoodPay & ZoodMall,"["" 👉 Face detection""]","["" 👉 Auto focusing object""]","["" 👉 Visual""]"
133,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/de.orrs.deliveries.gif?raw=true,de.orrs.deliveries,5,50,1974-04-30T10:29:29+05:43, 👉 Productivity,Al Pacino,Marlon Brando,Deliveries,"["" 👉 Barcode scanning"","" 👉 Barcode scanning""]","["" 👉 Pop-up messages"","" 👉 Camera frame""]","["" 👉 Text"","" 👉 Visual""]"
134,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/io.voiapp.voi.gif?raw=true,io.voiapp.voi,5,50,1974-04-30T10:29:29+05:110, 👉 Business,Al Pacino,Marlon Brando,Voi,"["" 👉 Entity extraction"","" 👉 Entity extraction""]","["" 👉 Flashlight"","" 👉 Camera frame"","" 👉 Object marker""]","["" 👉 Visual"","" 👉 Visual""]"
135,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/jp.co.appfactory.birdun.gif?raw=true,jp.co.appfactory.birdun,5,50,1974-04-30T10:29:29+05:64, 👉 Entertainment,Al Pacino,Marlon Brando,Look alike,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 Importing files"","" 👉 Camera frame"","" 👉 Illustration of correct input"","" 👉 Pop-up messages"","" 👉 Auto focusing object""]","["" 👉 Text"","" 👉 Visual"","" 👉 Text""]"
136,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/mingle.android.mingle2.gif?raw=true,mingle.android.mingle2,5,50,1974-04-30T10:29:29+05:76, 👉 Photography,Al Pacino,Marlon Brando,Mingle2,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 User personalisation"","" 👉 Pop-up messages""]","["" 👉 Visual"","" 👉 Text""]"
137,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/tv.mixch.android.gif?raw=true,tv.mixch.android,5,50,1974-04-30T10:29:29+05:78, 👉 Social,Al Pacino,Marlon Brando,MIXCHANNEL,"["" 👉 Face detection"","" 👉 Face detection""]","["" 👉 User personalisation"","" 👉 Pop-up messages""]","["" 👉 Visual"","" 👉 Text""]"
